eda.Field,Shortlisted,eda.Type,eda.Recs,eda.Miss,eda.Unique,edapct.Type,edapct.Recs,edapct.Miss
DATE,1,Other,4007,0,4007,Other,4007,0
Commodity_Quandl_Price_Coal_Australia_Monthly,1,Num/Int,4007,0,192,Num/Int,4007,0
electricity_gen_WB_coal_percent_AUS_Yearly,1,Num/Int,4007,0,16,Num/Int,4007,0
electricity_gen_WB_coal_percent_China_Yearly,1,Num/Int,4007,0,15,Num/Int,4007,0
electricity_gen_WB_coal_percent_Germany_Yearly,1,Num/Int,4007,0,16,Num/Int,4007,0
electricity_gen_WB_coal_percent_India_Yearly,1,Num/Int,4007,0,15,Num/Int,4007,0
electricity_gen_WB_coal_percent_Indonesia_Yearly,1,Num/Int,4007,0,15,Num/Int,4007,0
electricity_gen_WB_coal_percent_Japan_Yearly,1,Num/Int,4007,0,16,Num/Int,4007,0
electricity_gen_WB_coal_percent_Korea_Yearly,1,Num/Int,4007,0,16,Num/Int,4007,0
electricity_gen_WB_coal_percent_Netherlands_Yearly,1,Num/Int,4007,0,16,Num/Int,4007,0
U.electricity_gen_WB_coal_percent_Uk_Yearly,1,Num/Int,4007,0,16,Num/Int,4007,0
electricity_gen_WB_coal_percent_US_Yearly,1,Num/Int,4007,0,16,Num/Int,4007,0
electricity_gen_WB_coal_percent_SA_Yearly,1,Num/Int,4007,0,15,Num/Int,4007,0
electricity_gen_WB_coal_percent_Russia_Yearly,1,Num/Int,4007,0,15,Num/Int,4007,0
electricity_gen_Japan_imports_Monthly,1,Num/Int,4007,0,1,Num/Int,4007,0
electricity_gen_Japan_exports_Monthly,1,Num/Int,4007,0,1,Num/Int,4007,0
electricity_gen_Korea_imports_Monthly,1,Num/Int,4007,0,1,Num/Int,4007,0
electricity_gen_Korea_exports_Monthly,1,Num/Int,4007,0,1,Num/Int,4007,0
electricity_gen_AUS_Nuclear_Monthly,,Num/Int,4007,0,1,Num/Int,4007,0
electricity_gen_AUS_imports_Monthly,,Num/Int,4007,0,1,Num/Int,4007,0
electricity_gen_AUS_exports_Monthly,1,Num/Int,4007,0,1,Num/Int,4007,0
electricity_gen_UK_Combustible_Monthly,,Num/Int,4007,0,200,Num/Int,4007,0
electricity_gen_UK_Nuclear_Monthly,,Num/Int,4007,0,197,Num/Int,4007,0
electricity_gen_UK_Hydro_Monthly,,Num/Int,4007,0,175,Num/Int,4007,0
electricity_gen_UK_Geothermal_Monthly,,Num/Int,4007,0,169,Num/Int,4007,0
electricity_gen_UK_IndigenousProduction_Monthly,,Num/Int,4007,0,202,Num/Int,4007,0
electricity_gen_UK_imports_Monthly,1,Num/Int,4007,0,184,Num/Int,4007,0
electricity_gen_UK_exports_Monthly,1,Num/Int,4007,0,160,Num/Int,4007,0
electricity_gen_UK_electricitysupplied_Monthly,,Num/Int,4007,0,202,Num/Int,4007,0
macro_fred_GDP_Australia_Quarterly,1,Num/Int,4007,0,68,Num/Int,4007,0
macro_fred_GDP_China_Quarterly,1,Num/Int,4007,0,68,Num/Int,4007,0
macro_fred_GDP_Germany_Quarterly,1,Num/Int,4007,0,68,Num/Int,4007,0
macro_fred_GDP_India_Quarterly,1,Num/Int,4007,0,68,Num/Int,4007,0
macro_fred_GDP_Japan_Quarterly,1,Num/Int,4007,0,68,Num/Int,4007,0
macro_fred_GDP_Korea_Quarterly,1,Num/Int,4007,0,68,Num/Int,4007,0
macro_fred_GDP_Netherlands_Quarterly,1,Num/Int,4007,0,68,Num/Int,4007,0
macro_fred_GDP_SouthAfrica_Quarterly,1,Num/Int,4007,0,68,Num/Int,4007,0
macro_fred_GDP_UK_Quarterly,1,Num/Int,4007,0,68,Num/Int,4007,0
macro_fred_GDP_US_Quarterly,1,Num/Int,4007,0,68,Num/Int,4007,0
macro_fred_GDP_indonesia_Quarterly,1,Num/Int,4007,0,68,Num/Int,4007,0
Weather_Ncdc_TempAvg_PortElizabeth_SouthAfrica_Daily,1,Num/Int,4007,5,35,Num/Int,4007,0.001
Weather_Ncdc_TempAvg_Beijing_China_Daily,1,Num/Int,4007,5,83,Num/Int,4007,0.001
Weather_Ncdc_Prcp_BerlinTegel_Germany_daily,,Num/Int,4007,5,99,Num/Int,4007,0.001
Weather_Ncdc_TempMax_BerlinTegel_Germany_daily,,Num/Int,4007,5,86,Num/Int,4007,0.001
Weather_Ncdc_TempMin_BerlinTegel_Germany_daily,,Num/Int,4007,5,74,Num/Int,4007,0.001
Weather_Ncdc_TempAvg_Shanghai_China_Daily,1,Num/Int,4007,5,70,Num/Int,4007,0.001
Weather_Ncdc_TempAvg_Jakarta_Indonesia_Daily,1,Num/Int,4007,5,27,Num/Int,4007,0.001
Weather_Ncdc_TempMax_Rotterdam_Netherlands_Daily,,Num/Int,4007,5,72,Num/Int,4007,0.001
Weather_Ncdc_TempMin_Rotterdam_Netherlands_Daily,,Num/Int,4007,5,64,Num/Int,4007,0.001
Weather_Ncdc_TemAvg_Kolkata_India_Daily,1,Num/Int,4007,6,40,Num/Int,4007,0.001
Weather_Ncdc_TempAvg_NewCastle_AUS_Daily,,Num/Int,4007,6,49,Num/Int,4007,0.001
Weather_Ncdc_TempMin_NewCastle_AUS_Daily,,Num/Int,4007,7,48,Num/Int,4007,0.002
Weather_Ncdc_TempMax_NewCastle_AUS_Daily,,Num/Int,4007,8,58,Num/Int,4007,0.002
Weather_Ncdc_TemAvg_Kimberley_WesternAustralia_Daily,,Num/Int,4007,13,61,Num/Int,4007,0.003
Weather_Ncdc_TempMin_Brisbane_Queensland.AU.,,Num/Int,4007,15,44,Num/Int,4007,0.004
Weather_Ncdc_TempAvg_Delhi_India_Daily,,Num/Int,4007,15,61,Num/Int,4007,0.004
Weather_Ncdc_TempMax_Brisbane_Queensland.AU.,,Num/Int,4007,18,45,Num/Int,4007,0.004
API4,1,Num/Int,4007,19,1607,Num/Int,4007,0.005
Weather_Ncdc_Prcp_Rotterdam_Netherlands_Daily,,Num/Int,4007,28,111,Num/Int,4007,0.007
Weather_Ncdc_Prcp_Brisbane_Queensland.AU.,,Num/Int,4007,36,181,Num/Int,4007,0.009
Weather_Ncdc_Prcp_Palembang_Indonesia_Daily,,Num/Int,4007,47,62,Num/Int,4007,0.012
Weather_Ncdc_TempAvg_Palembang_Indonesia_Daily,1,Num/Int,4007,47,14,Num/Int,4007,0.012
Weather_Ncdc_TempMax_Palembang_Indonesia_Daily,,Num/Int,4007,47,21,Num/Int,4007,0.012
Weather_Ncdc_TempMin_Palembang_Indonesia_Daily,,Num/Int,4007,47,15,Num/Int,4007,0.012
electricity_gen_Korea_Geothermal_Monthly,,Num/Int,4007,75,124,Num/Int,4007,0.019
Weather_Ncdc_TempAvg_Samarinda_Indonesia_Daily,,Num/Int,4007,115,17,Num/Int,4007,0.029
Weather_Ncdc_TempAvg_Durban_SA_Daily,1,Num/Int,4007,128,32,Num/Int,4007,0.032
Weather_Ncdc_TemMax_Kimberley_WesternAustralia_Daily,,Num/Int,4007,168,64,Num/Int,4007,0.042
electricity_gen_Korea_Hydro_Monthly,,Num/Int,4007,218,170,Num/Int,4007,0.054
macro_fred_GDP_Russia_Quarterly,1,Num/Int,4007,241,59,Num/Int,4007,0.06
Weather_Ncdc_Prcp_NewCastle_AUS_Daily,,Num/Int,4007,275,180,Num/Int,4007,0.069
Weather_Ncdc_TempMax_Delhi_India_Daily,,Num/Int,4007,287,63,Num/Int,4007,0.072
Weather_Ncdc_TempMax_Durban_SA_Daily,,Num/Int,4007,315,37,Num/Int,4007,0.079
Weather_Ncdc_TempAvg_Mascow_Russia_Daily,,Num/Int,4007,366,102,Num/Int,4007,0.091
